YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT21,WV03
1969,8,11,20.0,30.0,,,,,,,418.0,0.0,95.0,,,,0.0,0.0,,93.91999999999999,71.06,762.0,150.0,,,,,63.0,,,93.0,1.0,,999.0,,,,,1.0,,,,,,,999.0,,,,
1969,8,12,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,-999.0,,,,,,,,,,,,-999.0,,,,
1969,8,14,20.0,30.0,,,,,,,1300.0,0.0,96.0,,,,0.0,0.0,,96.98,71.96,768.0,180.0,,,,,67.0,,,87.0,9999.0,,9999.0,,,,,9999.0,,,,,,,9999.0,,,,
1969,8,15,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,-99.0,,-99.0,,,,,-99.0,,,,,,,-99.0,,,,
1969,8,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,,,,,99.0,,,,,,,99.0,,,,
1969,8,17,40.0,40.0,,,,,,,1806.0,0.0,67.0,,,,0.0,0.0,,100.03999999999999,73.94,534.0,50.0,,,90.0,,54.0,,,87.0,-9999.0,,1.0,,,,,-9999.0,,,,,,,1.0,,,,
1969,8,18,,,,,,,,,,,,,,,0.0,0.0,,32.0,32.0,,,,,,,,,,,-9.0,,,,,,,-9.0,,,,,,,,,,,
1969,8,19,30.0,30.0,,,,,,,754.0,0.0,85.0,,,,0.0,0.0,,98.96000000000001,75.02,678.0,150.0,,,,,63.0,,,87.0,999.0,,999.0,,,,,999.0,,,,,,,999.0,,,,
1969,8,20,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,-999.0,,-999.0,,,,,-999.0,,,,,,,-999.0,,,,
1969,8,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.0,,,,,9.0,,,,,,,,,,,
