YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03,WV20
1947,9,17,,,,,,,,,,,,,,,,,82.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,9,25,,,,,,,,,,,,,,,,,68.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,10,1,,,,,,,,,,,,,,,,,51.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,10,9,,,,,,,,,,,,,,,,,-1767.8200000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,10,17,,,,,,,,,,,,,,,,,65.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,10,25,,,,,,,,,,,,,,,,,71.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,11,1,,,,,,,,,,,,,,,,,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,11,9,,,,,,,,,,,,,,,,,47.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,11,17,,,,,,,,,,,,,,,,,32.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,11,25,,,,,,,,,,,,,,,,,35.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,12,1,,,,,,,,,,,,,,,,,24.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,12,9,,,,,,,,,,,,,,,,,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,12,17,,,,,,,,,,,,,,,,,21.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1947,12,25,,,,,,,,,,,,,,,,,21.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1,1,,,,,,,,,,,,,,,,,31.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1,9,,,,,,,,,,,,,,,,,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1,17,,,,,,,,,,,,,,,,,27.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,1,25,,,,,,,,,,,,,,,,,8.779999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,2,1,,,,,,,,,,,,,,,,,15.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,2,9,,,,,,,,,,,,,,,,,12.920000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,2,17,,,,,,,,,,,,,,,,,23.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,2,25,,,,,,,,,,,,,,,,,37.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,3,1,,,,,,,,,,,,,,,,,27.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,3,9,,,,,,,,,,,,,,,,,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,3,17,,,,,,,,,,,,,,,,,11.479999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,3,25,,,,,,,,,,,,,,,,,42.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,4,1,,,,,,,,,,,,,,,,,41.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,4,9,,,,,,,,,,,,,,,,,45.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,4,17,,,,,,,,,,,,,,,,,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,4,25,,,,,,,,,,,,,,,,,54.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,5,1,,,,,,,,,,,,,,,,,54.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,5,9,,,,,,,,,,,,,,,,,53.78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,5,17,,,,,,,,,,,,,,,,,44.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,5,25,,,,,,,,,,,,,,,,,60.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,6,1,,,,,,,,,,,,,,,,,67.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,6,9,,,,,,,,,,,,,,,,,56.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,6,17,,,,,,,,,,,,,,,,,69.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,6,25,,,,,,,,,,,,,,,,,57.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,7,1,,,,,,,,,,,,,,,,,63.86,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,7,9,,,,,,,,,,,,,,,,,75.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,7,17,,,,,,,,,,,,,,,,,78.08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,7,25,,,,,,,,,,,,,,,,,75.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,8,1,,,,,,,,,,,,,,,,,71.24000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,8,9,,,,,,,,,,,,,,,,,63.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,8,17,,,,,,,,,,,,,,,,,73.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,8,25,,,,,,,,,,,,,,,,,69.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,9,1,,,,,,,,,,,,,,,,,65.84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1948,9,9,,,,,,,,,,,,,,,,,74.48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
