YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGB,FRGT,FRTH,GAHT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV03
1941,2,9,,,,,,,,,,,,,,0.0,,,,,0.0,152.0,,,33.98,-2.019999999999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,10,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,11,,,,,,,,,,,,,,432.0,,,,,0.0,102.0,,,39.92,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,12,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,14,,,,,,,,,,,,,,0.0,,,,,0.0,51.0,,,35.06,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,15,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,17,,,,,,,,,,,,,,0.0,,,,,0.0,25.0,,,37.04,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,18,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,19,,,,,,,,,,,,,,0.0,,,,,0.0,25.0,,,32.0,19.939999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,20,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,22,,,,,,,,,,,,,,3.0,,,,,0.0,,,,33.98,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,23,,,,,,,,,,,,,,,,,,,0.0,0.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,25,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,28.04,12.020000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,26,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,27,,,,,,,,,,,,,,0.0,,,,,0.0,,,,28.04,53.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,28,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,30,,,,,,,,,,,,,,0.0,,,,,0.0,,,,28.04,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,2,31,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,1,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,39.92,30.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,2,,,,,,,,,,,,,,,,,,,,,,,32.0,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,3,,,,,,,,,,,,,,0.0,,,,,0.0,,,,44.06,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,4,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,6,,,,,,,,,,,,,,33.0,,,,,25.0,25.0,,,35.06,8.96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,7,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,9,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,33.98,12.920000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,10,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,11,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,55.94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,14,,,,,,,,,,,,,,20.0,,,,,51.0,203.0,,,28.04,24.98,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,15,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,17,,,,,,,,,,,,,,130.0,,,,,13.0,127.0,,,30.02,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,18,,,,,,,,,,,,,,0.0,,,,,0.0,0.0,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,19,,,,,,,,,,,,,,94.0,,,,,229.0,356.0,,,26.96,60.980000000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,20,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,22,,,,,,,,,,,,,,0.0,,,,,0.0,229.0,,,48.02,10.04,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,23,,,,,,,,,,,,,,0.0,,,,,0.0,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1941,3,25,,,,,,,,,,,,,,3.0,,,,,0.0,178.0,,,37.04,30.92,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
