YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,DAPR,FMTM,MDPR,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV07,WV20
1952,8,9,,,,,,,,,,,,30.0,,,,,,,,73.04,53.06,133.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,10,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,11,,,,,,,,,,,,213.0,,,,,,,,64.04,51.98,122.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,14,,,,,,,,,,,,,,,,,,,,64.94,50.0,144.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,15,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,17,,,,,,,,,,,,0.0,,,,,,,,68.0,48.92,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,18,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,19,,,,,,,,,,,,0.0,,,,,,,,68.0,48.92,117.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,20,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,22,,,,,,,,,,,,,,,,,,,,69.98,48.02,111.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,23,,,,,,,,,,,,0.0,,,,,,,,,32.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,25,,,,,,,,,,,,0.0,,,,,,,,66.02,41.0,100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1952,8,26,,,,,,,,,,,,0.0,,,,,,,,32.0,32.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
