YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS,TSUN,WDF1,WDF2,WDF5,WDFG,WESD,WSF1,WSF2,WSF5,WSFG,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21
1948,2,19,,,,,,,,,,0.0,,,,,0.0,0.0,,78.08,60.08,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,20,,,,,,,,,,0.0,,,,,0.0,0.0,,80.06,57.92,,,,,,,,,,,,1.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,21,,,,,,,,,,0.0,,,,,0.0,0.0,,78.98,59.0,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,22,,,,,,,,,,0.0,,,,,0.0,0.0,,78.98,57.92,,,,,,,,,,,,1.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,23,,,,,,,,,,0.0,,,,,0.0,0.0,,82.04,59.0,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,24,,,,,,,,,,41.0,,,,,0.0,0.0,,80.06,64.04,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,25,,,,,,,,,,28.0,,,,,0.0,0.0,,77.0,66.92,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,1.0,,
1948,2,26,,,,,,,,,,0.0,,,,,0.0,0.0,,78.98,60.08,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,27,,,,,,,,,,0.0,,,,,0.0,0.0,,80.06,59.0,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
1948,2,28,,,,,,,,,,0.0,,,,,0.0,0.0,,82.94,64.04,,,,,,,,,,,,-9999.0,,,,,,,-9999.0,,,,,,-9999.0,,
