YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,PSUN,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT06,WT07,WT08,WT09,WT11,WT13,WT14,WT15,WT16,WT17,WT18,WT19,WT21,WT22,WV01,WV03,WV20
1948,2,22,,,,,,,,,,,127.0,,,,,0.0,0.0,,,46.04,39.02,,,,,,,,,,,,,1.0,,9999.0,9999.0,9999.0,,,9999.0,,,,,,1.0,,9999.0,,,,,,
1948,2,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,-99.0,-99.0,,,-99.0,,,,,,,,-99.0,,,,,,
1948,2,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99.0,,99.0,99.0,99.0,,,99.0,,,,,,,,99.0,,,,,,
1948,2,25,,,,,,,,,,,213.0,,,,,0.0,0.0,,,51.98,37.04,,,,,,,,,,,,,1.0,,-9999.0,-9999.0,-9999.0,,,-9999.0,,,,,,1.0,,-9999.0,,,,,,
1948,2,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,-9.0,,,-9.0,,,,,,,,-9.0,,,,,,
1948,2,27,,,,,,,,,,,33.0,,,,,0.0,0.0,,,57.02,46.04,,,,,,,,,,,,,999.0,,999.0,999.0,999.0,,,999.0,,,,,,1.0,,999.0,,,,,,
1948,2,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,,-999.0,-999.0,-999.0,,,-999.0,,,,,,,,-999.0,,,,,,
1948,2,30,,,,,,,,,,,0.0,,,,,0.0,0.0,,,44.96,30.02,,,,,,,,,,,,,9999.0,,9999.0,9999.0,9999.0,,,9999.0,,,,,,9999.0,,9999.0,,,,,,
1948,2,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-99.0,,-99.0,-99.0,-99.0,,,,,,,,,,,-99.0,,,,,,
1948,3,1,,,,,,,,,,,48.0,,,,,0.0,0.0,,,46.94,32.0,,,,,,,,,,,,,-9999.0,,,-9999.0,-9999.0,,,1.0,,,,,,1.0,,1.0,,,,,,
1948,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-9.0,-9.0,,,,,,,,,,,,,,,,,
1948,3,3,,,,,,,,,,,0.0,,,,,0.0,0.0,,,50.0,30.92,,,,,,,,,,,,,1.0,,,999.0,999.0,,,1.0,,,,,,999.0,,999.0,,,,,,
1948,3,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-999.0,-999.0,,,,,,,,,-999.0,,-999.0,,,,,,
