YEAR,MONTH,DAY,ACMH,ACSH,ADPT,ASLP,ASTP,AWBT,AWND,FMTM,FRGT,PGTM,PRCP,RHAV,RHMN,RHMX,SNOW,SNWD,TAVG,THIC,TMAX,TMIN,TSUN,WDF1,WDF2,WDF5,WDFG,WDFM,WESD,WSF1,WSF2,WSF5,WSFG,WSFM,WT01,WT02,WT03,WT04,WT05,WT07,WT08,WT09,WT10,WT11,WT13,WT14,WT16,WT18,WT21,WV01,WV03,WV20
1967,5,8,40.0,20.0,,,,,,,,1524.0,0.0,,,,0.0,0.0,,,69.98,55.04,,,,,225.0,225.0,,,,,134.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,9,100.0,100.0,,,,,,,,1906.0,38.0,,,,0.0,0.0,,,64.04,53.06,,,,,225.0,225.0,,,,,134.0,107.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,5,10,60.0,60.0,,,,,,,,1724.0,28.0,,,,0.0,0.0,,,59.0,48.92,,,,,270.0,293.0,,,,,118.0,103.0,1.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,5,11,50.0,60.0,,,,,,,,1454.0,0.0,,,,0.0,0.0,,,60.08,48.02,,,,,248.0,270.0,,,,,118.0,103.0,-9999.0,,,,,,-9999.0,,,,,,1.0,,,,,
1967,5,12,10.0,10.0,,,,,,,,1624.0,0.0,,,,0.0,0.0,,,62.959999999999994,46.04,,,,,293.0,293.0,,,,,139.0,116.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,13,0.0,0.0,,,,,,,,1654.0,0.0,,,,0.0,0.0,,,77.0,46.04,,,,,293.0,293.0,,,,,144.0,125.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,14,0.0,0.0,,,,,,,,1824.0,0.0,,,,0.0,0.0,,,80.96,50.0,,,,,293.0,293.0,,,,,118.0,107.0,-9999.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
1967,5,15,0.0,0.0,,,,,,,,1654.0,0.0,,,,0.0,0.0,,,84.91999999999999,53.06,,,,,293.0,293.0,,,,,108.0,103.0,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1967,5,16,0.0,0.0,,,,,,,,1936.0,0.0,,,,0.0,0.0,,,86.0,53.96,,,,,315.0,315.0,,,,,113.0,103.0,-9999.0,,,,,,1.0,,,,,,-9999.0,,,,,
1967,5,17,0.0,10.0,,,,,,,,1612.0,0.0,,,,0.0,0.0,,,69.98,51.08,,,,,315.0,315.0,,,,,134.0,125.0,1.0,,,,,,-9999.0,,,,,,-9999.0,,,,,
